id,name,dob,contract_until,position,jersey_number,market_value,nationality,team_id
29,Sone Aluko,1989-02-19,2016-06-30,Secondary Striker,24.0,"3,500,000 €",Nigeria,1
30,Abel Hernández,1990-08-08,2018-06-30,Centre Forward,9.0,"5,000,000 €",Uruguay,1
31,Yannick Sagbo,1988-04-12,,Centre Forward,20.0,"2,500,000 €",Cote d'Ivoire,1
32,Yohan Benalouane,1987-03-28,2019-06-30,Centre Back,NaN,"2,000,000 €",Tunisia,2
33,Islam Slimani,1988-06-18,2021-06-30,Centre Forward,9.0,"22,000,000 €",Algeria,2
34,Ahmed Musa,1992-10-14,2020-06-30,Centre Forward,7.0,"18,000,000 €",Nigeria,2
35,Nampalys Mendy,1992-06-23,2020-06-30,Defensive Midfield,24.0,"12,000,000 €",France,2
36,Ron-Robert Zieler,1989-02-12,2020-06-30,Keeper,21.0,"8,000,000 €",Germany,2
37,Luis Hernández,1989-08-14,2020-06-30,Centre Back,2.0,"3,500,000 €",Spain,2
38,Kasper Schmeichel,1986-11-05,2021-06-30,Keeper,1.0,"8,000,000 €",Denmark,2
39,Ben Hamer,1987-11-20,2018-06-30,Keeper,12.0,"500,000 €",England,2
40,Robert Huth,1984-08-18,2018-06-30,Centre Back,6.0,"6,000,000 €",Germany,2
41,Wes Morgan,1984-01-21,2019-06-30,Centre Back,5.0,"3,500,000 €",Jamaica,2
42,Marcin Wasilewski,1980-06-09,2017-06-30,Centre Back,27.0,"500,000 €",Poland,2
43,Jeffrey Schlupp,1992-12-23,2019-06-30,Left-Back,15.0,"8,000,000 €",Ghana,2
44,Ben Chilwell,1996-12-21,2021-06-30,Left-Back,3.0,"2,500,000 €",England,2
45,Danny Simpson,1987-01-04,2019-06-30,Right-Back,17.0,"5,000,000 €",England,2
46,Daniel Amartey,1994-12-21,2020-06-30,Defensive Midfield,13.0,"5,000,000 €",Ghana,2
47,Danny Drinkwater,1990-03-05,2021-06-30,Central Midfield,4.0,"10,000,000 €",England,2
48,Andy King,1988-10-29,2020-06-30,Central Midfield,10.0,"3,500,000 €",Wales,2
49,Matty James,1991-07-22,2018-06-30,Central Midfield,8.0,"1,500,000 €",England,2
50,Marc Albrighton,1989-11-18,2020-06-30,Left Midfield,11.0,"6,000,000 €",England,2
51,Bartosz Kapustka,1996-12-23,2021-06-30,Attacking Midfield,14.0,"5,000,000 €",Poland,2
52,Demarai Gray,1996-06-28,2020-06-30,Left Wing,22.0,"6,000,000 €",England,2
53,Riyad Mahrez,1991-02-21,2020-06-30,Right Wing,26.0,"30,000,000 €",Algeria,2
54,Jamie Vardy,1987-01-11,2020-06-30,Centre Forward,9.0,"20,000,000 €",England,2
55,Shinji Okazaki,1986-04-16,2019-06-30,Centre Forward,20.0,"10,000,000 €",Japan,2
56,Leonardo Ulloa,1986-07-26,2018-06-30,Centre Forward,23.0,"8,000,000 €",Argentina,2
57,Pierre-Emile Höjbjerg,1995-08-05,2021-06-30,Central Midfield,23.0,"8,000,000 €",Denmark,3
58,Alex McCarthy,1989-12-03,2019-06-30,Keeper,13.0,"3,000,000 €",England,3
59,Lloyd Isgrove,1993-01-12,2017-06-30,Right Wing,27.0,"250,000 €",Wales,3
60,Shane Long,1987-01-22,2020-06-30,Centre Forward,7.0,"10,000,000 €",Ireland,3
61,Jérémy Pied,1989-02-23,2018-06-30,Right Midfield,26.0,"3,500,000 €",France,3
62,Sofiane Boufal,1993-09-17,2021-06-30,Attacking Midfield,19.0,"13,000,000 €",Morocco,3
63,Nathan Redmond,1994-03-06,2021-06-30,Right Wing,22.0,"10,000,000 €",England,3
64,Fraser Forster,1988-03-17,2021-06-30,Keeper,1.0,"15,000,000 €",England,3
65,Virgil van Dijk,1991-07-08,2022-06-30,Centre Back,17.0,"12,000,000 €",Netherlands,3
66,José Fonte,1983-12-22,2018-06-30,Centre Back,6.0,"6,000,000 €",Portugal,3
67,Florin Gardos,1988-10-29,2018-06-30,Centre Back,5.0,"5,000,000 €",Romania,3
68,Maya Yoshida,1988-08-24,2018-06-30,Centre Back,3.0,"4,000,000 €",Japan,3
69,Jack Stephens,1994-01-27,2019-06-30,Centre Back,24.0,"250,000 €",England,3
70,Ryan Bertrand,1989-08-05,2021-06-30,Left-Back,21.0,"14,000,000 €",England,3
71,Matt Targett,1995-09-18,2019-06-30,Left-Back,33.0,"3,000,000 €",England,3
72,Cédric Soares,1991-08-31,2020-06-30,Right-Back,2.0,"12,000,000 €",Portugal,3
73,Cuco Martina,1989-09-25,2017-06-30,Right-Back,15.0,"2,000,000 €",Curacao,3
74,Jordy Clasie,1991-06-27,2020-06-30,Defensive Midfield,4.0,"11,000,000 €",Netherlands,3
75,Oriol Romeu,1991-09-24,2018-06-30,Defensive Midfield,14.0,"5,000,000 €",Spain,3
76,James Ward-Prowse,1994-11-01,2022-06-30,Central Midfield,16.0,"11,000,000 €",England,3
77,Steven Davis,1985-01-01,2019-06-30,Central Midfield,8.0,"6,000,000 €",Northern Ireland,3
78,Harrison Reed,1995-01-27,2018-06-30,Central Midfield,18.0,"1,500,000 €",England,3
79,Dusan Tadic,1988-11-20,2020-06-30,Left Wing,11.0,"17,000,000 €",Serbia,3
80,Sam McQueen,1995-02-06,2018-06-30,Left Wing,38.0,"250,000 €",England,3
81,Jay Rodríguez,1989-07-29,2019-06-30,Left Wing,9.0,"13,000,000 €",England,3
82,Charlie Austin,1989-07-05,2020-06-30,Centre Forward,10.0,"13,000,000 €",England,3
83,Stuart Taylor,1980-11-28,2017-06-30,Keeper,28.0,"250,000 €",England,3
84,Roberto Pereyra,1991-01-07,2021-06-30,Attacking Midfield,37.0,"16,000,000 €",Argentina,4
85,Stefano Okaka,1989-08-09,2021-06-30,Centre Forward,33.0,"6,500,000 €",Italy,4
86,Camilo Zúñiga,1985-12-14,2017-06-30,Left Midfield,18.0,"1,000,000 €",Colombia,4
87,Daryl Janmaat,1989-07-22,2020-06-30,Right-Back,22.0,"7,500,000 €",Netherlands,4
88,Brice Dja Djedjé,1990-12-23,2020-06-30,Right-Back,26.0,"3,500,000 €",Cote d'Ivoire,4
89,Abdoulaye Doucouré,1993-01-01,2020-06-30,Central Midfield,16.0,"6,000,000 €",France,4
90,Isaac Success,1996-01-07,2021-06-30,Right Wing,10.0,"4,000,000 €",Nigeria,4
91,Giedrius Arlauskis,1987-12-01,2019-06-30,Keeper,34.0,"1,250,000 €",Lithuania,4
92,Costel Pantilimon,1987-02-01,2019-06-30,Keeper,30.0,"4,500,000 €",Romania,4
93,Heurelho Gomes,1981-02-15,2018-06-30,Keeper,1.0,"1,000,000 €",Brazil,4
94,Rene Gilmartin,1987-05-31,2017-06-30,Keeper,13.0,"250,000 €",Ireland,4
95,Christian Kabasele,1991-02-24,2021-06-30,Centre Back,27.0,"6,000,000 €",Belgium,4
96,Sebastian Prödl,1987-06-21,2020-06-30,Centre Back,5.0,"4,000,000 €",Austria,4
97,Craig Cathcart,1989-02-06,2019-06-30,Centre Back,15.0,"4,000,000 €",Northern Ireland,4
98,Miguel Britos,1985-07-17,2018-06-30,Centre Back,3.0,"3,500,000 €",Uruguay,4
99,José Holebas,1984-06-27,2018-06-30,Left-Back,25.0,"2,000,000 €",Greece,4
100,Juan Carlos Paredes,1987-07-08,2019-06-30,Right-Back,14.0,"2,000,000 €",Ecuador,4
101,Étienne Capoue,1988-07-11,2019-06-30,Defensive Midfield,29.0,"9,000,000 €",France,4
102,Valon Behrami,1985-04-19,2018-06-30,Defensive Midfield,11.0,"2,500,000 €",Switzerland,4
103,Ben Watson,1985-07-09,2018-06-30,Central Midfield,23.0,"1,500,000 €",England,4
104,Adlène Guédioura,1985-11-12,2018-06-30,Central Midfield,17.0,"1,000,000 €",Algeria,4
105,Nordin Amrabat,1987-03-31,2019-06-30,Left Wing,7.0,"4,500,000 €",Morocco,4
106,Odion Ighalo,1989-06-16,2021-06-30,Centre Forward,24.0,"12,000,000 €",Nigeria,4
107,Troy Deeney,1988-06-29,2021-06-30,Centre Forward,9.0,"11,000,000 €",England,4
108,Jerome Sinclair,1996-09-20,2021-06-30,Centre Forward,19.0,"1,500,000 €",England,4
109,Kenedy,1996-02-08,2017-06-30,Left-Back,12.0,"8,000,000 €",Brazil,4
110,Younès Kaboul,1986-01-04,2019-06-30,Centre Back,4.0,"2,500,000 €",France,4
111,Haviv Ohayon,1998-08-17,2016-06-30,Keeper,NaN,,Israel,4
112,Adrian Mariappa,1986-10-03,2019-06-30,Centre Back,6.0,"2,000,000 €",Jamaica,4
113,David Nugent,1985-05-02,2018-06-30,Centre Forward,35.0,"3,500,000 €",England,5
114,Stewart Downing,1984-07-22,2019-06-30,Left Midfield,19.0,"6,000,000 €",England,5
115,Brad Guzan,1984-09-09,2018-06-30,Keeper,12.0,"2,500,000 €",United States,5
116,Gastón Ramírez,1990-12-02,2019-06-30,Attacking Midfield,21.0,"5,000,000 €",Uruguay,5
117,Viktor Fischer,1994-06-09,2019-06-30,Left Wing,11.0,"5,000,000 €",Denmark,5
118,Antonio Barragán,1987-06-12,2019-06-30,Right-Back,17.0,"3,500,000 €",Spain,5
119,Álvaro Negredo,1985-08-20,2017-06-30,Centre Forward,10.0,"7,500,000 €",Spain,5
120,Víctor Valdés,1982-01-14,2018-06-30,Keeper,26.0,"2,500,000 €",Spain,5
121,Bernardo Espinosa,1989-07-11,,Centre Back,5.0,"2,500,000 €",Colombia,5
122,Marten de Roon,1991-03-29,2020-06-30,Central Midfield,14.0,"10,000,000 €",Netherlands,5
123,Dimitrios Konstantopoulos,1978-11-29,2016-06-30,Keeper,1.0,"250,000 €",Greece,5
124,Tomás Mejías,1989-01-30,2018-06-30,Keeper,13.0,"250,000 €",Spain,5
125,Daniel Ayala,1990-11-07,2020-06-30,Centre Back,4.0,"2,000,000 €",Spain,5
126,Ben Gibson,1993-01-15,2021-06-30,Centre Back,6.0,"2,000,000 €",England,5
127,Fábio,1990-07-09,2018-06-30,Left-Back,2.0,"3,000,000 €",Brazil,5
128,George Friend,1987-10-19,2020-06-30,Left-Back,3.0,"1,500,000 €",England,5
129,James Husband,1994-01-03,2018-06-30,Left-Back,40.0,"500,000 €",England,5
130,Emilio Nsue,1989-09-30,2017-06-30,Right-Back,24.0,"2,000,000 €",Equatorial Guinea,5
131,Julien de Sart,1994-12-23,2019-06-30,Defensive Midfield,23.0,"2,000,000 €",Belgium,5
132,Adam Clayton,1989-01-14,2018-06-30,Central Midfield,8.0,"2,500,000 €",England,5
133,Adam Forshaw,1991-10-08,2020-06-30,Central Midfield,34.0,"2,250,000 €",England,5
134,Grant Leadbitter,1986-01-07,2017-06-30,Central Midfield,7.0,"2,000,000 €",England,5
135,Carlos de Pena,1992-03-11,2018-06-30,Left Midfield,16.0,"2,500,000 €",Uruguay,5
136,Jordan Rhodes,1990-02-05,2020-06-30,Centre Forward,9.0,"10,000,000 €",Scotland,5
137,Cristhian Stuani,1986-10-12,2019-06-30,Centre Forward,18.0,"4,000,000 €",Uruguay,5
138,Calum Chambers,1995-01-20,2017-05-31,Right-Back,25.0,"12,000,000 €",England,5
139,Bruno Martins Indi,1992-02-08,2017-06-30,Centre Back,4.0,"10,000,000 €",Netherlands,6
140,Daniel Bachmann,1994-07-09,2017-06-30,Keeper,35.0,"250,000 €",Austria,6
141,Wilfried Bony,1988-12-10,2017-06-30,Centre Forward,14.0,"22,000,000 €",Cote d'Ivoire,6
142,Jack Butland,1993-03-10,2021-06-30,Keeper,1.0,"9,000,000 €",England,6
143,Jakob Haugaard,1992-05-01,2018-06-30,Keeper,29.0,"1,000,000 €",Denmark,6
144,Shay Given,1976-04-20,2017-06-30,Keeper,24.0,"500,000 €",Ireland,6
145,Ryan Shawcross,1987-10-04,2018-06-30,Centre Back,17.0,"11,000,000 €",England,6
146,Marc Muniesa,1992-03-27,2019-06-30,Centre Back,5.0,"3,500,000 €",Spain,6
147,Geoff Cameron,1985-07-11,2018-06-30,Centre Back,20.0,"3,000,000 €",United States,6
148,Dionatan Teixeira,1992-07-24,2017-06-30,Centre Back,23.0,"500,000 €",Slovakia,6
149,Erik Pieters,1988-08-07,2020-06-30,Left-Back,3.0,"7,000,000 €",Netherlands,6
150,Glen Johnson,1984-08-23,2017-06-30,Right-Back,8.0,"7,000,000 €",England,6
151,Phil Bardsley,1985-06-28,2017-06-30,Right-Back,2.0,"1,500,000 €",Scotland,6
152,Giannelli Imbula,1992-09-12,2021-06-30,Defensive Midfield,21.0,"18,000,000 €",France,6
153,Glenn Whelan,1984-01-13,2018-06-30,Defensive Midfield,6.0,"3,000,000 €",Ireland,6
154,Joe Allen,1990-03-14,2021-06-30,Central Midfield,4.0,"12,000,000 €",Wales,6
155,Charlie Adam,1985-12-10,2017-06-30,Central Midfield,16.0,"4,500,000 €",Scotland,6
156,Stephen Ireland,1986-08-22,2017-06-30,Attacking Midfield,7.0,"1,500,000 €",Ireland,6
157,Ibrahim Afellay,1986-04-02,2017-06-30,Left Wing,14.0,"5,000,000 €",Netherlands,6
158,Ramadan Sobhi,1997-06-27,2020-06-30,Left Wing,32.0,"1,500,000 €",Egypt,6
159,Xherdan Shaqiri,1991-10-10,2020-06-30,Right Wing,22.0,"15,000,000 €",Switzerland,6
160,Marko Arnautovic,1989-04-19,2020-06-30,Left Wing,10.0,"12,000,000 €",Austria,6
161,Jonathan Walters,1983-09-20,2018-06-30,Right Wing,19.0,"3,500,000 €",Ireland,6
162,Bojan Krkic,1990-08-28,2020-06-30,Secondary Striker,27.0,"10,000,000 €",Spain,6
163,Mame Diouf,1987-12-16,2018-06-30,Centre Forward,18.0,"8,000,000 €",Senegal,6
164,Peter Crouch,1981-01-30,2017-06-30,Centre Forward,25.0,"1,500,000 €",England,6
165,Lee Grant,1983-01-27,2016-12-31,Keeper,NaN,"500,000 €",England,6
166,Idrissa Gueye,1989-09-26,2020-06-30,Central Midfield,17.0,"9,000,000 €",Senegal,7
167,Conor McAleny,1992-08-12,2017-06-30,Centre Forward,NaN,"250,000 €",England,7
168,Joel Robles,1990-06-17,2018-06-30,Keeper,1.0,"5,000,000 €",Spain,7
169,Maarten Stekelenburg,1982-09-22,2019-06-30,Keeper,22.0,"1,000,000 €",Netherlands,7
170,Ramiro Funes Mori,1991-03-05,2020-06-30,Centre Back,25.0,"12,000,000 €",Argentina,7
171,Ashley Williams,1984-08-23,2019-06-30,Centre Back,5.0,"8,000,000 €",Wales,7
172,Phil Jagielka,1982-08-17,2018-06-30,Centre Back,6.0,"3,500,000 €",England,7
173,Leighton Baines,1984-12-11,2019-06-30,Left-Back,3.0,"13,000,000 €",England,7
174,Bryan Oviedo,1990-02-18,2019-06-30,Left-Back,20.0,"3,000,000 €",Costa Rica,7
175,Seamus Coleman,1988-10-11,2019-06-30,Right-Back,23.0,"17,000,000 €",Ireland,7
176,Tyias Browning,1994-05-27,2017-06-30,Right-Back,27.0,"1,000,000 €",England,7
177,Muhamed Besic,1992-09-10,2021-06-30,Defensive Midfield,21.0,"6,000,000 €",Bosnia-Herzegovina,7
178,Gareth Barry,1981-02-23,2017-06-30,Defensive Midfield,18.0,"2,000,000 €",England,7
179,James McCarthy,1990-11-12,2020-06-30,Central Midfield,16.0,"17,000,000 €",Ireland,7
180,Tom Cleverley,1989-08-12,2020-06-30,Central Midfield,15.0,"9,000,000 €",England,7
181,Darron Gibson,1987-10-25,2018-06-30,Central Midfield,4.0,"1,500,000 €",Ireland,7
182,Ross Barkley,1993-12-05,2018-06-30,Attacking Midfield,8.0,"22,000,000 €",England,7
183,Kevin Mirallas,1987-10-05,2018-06-30,Right Wing,11.0,"13,000,000 €",Belgium,7
184,Gerard Deulofeu,1994-03-13,2018-06-30,Right Wing,7.0,"9,000,000 €",Spain,7
185,Aaron Lennon,1987-04-16,2018-06-30,Right Wing,12.0,"6,000,000 €",England,7
186,Romelu Lukaku,1993-05-13,2019-06-30,Centre Forward,10.0,"40,000,000 €",Belgium,7
187,Oumar Niasse,1990-04-18,2020-06-30,Centre Forward,NaN,"12,000,000 €",Senegal,7
188,Arouna Koné,1983-11-11,2017-06-30,Centre Forward,9.0,"2,500,000 €",Cote d'Ivoire,7
189,Leandro Rodríguez,1992-11-19,2019-06-30,Centre Forward,NaN,"1,500,000 €",Uruguay,7
190,Enner Valencia,1989-11-04,2017-06-30,Centre Forward,19.0,"10,000,000 €",Ecuador,7
191,Yannick Bolasie,1989-05-24,2021-06-30,Left Wing,14.0,"14,000,000 €",Congo DR,7
192,Mason Holgate,1996-10-22,2020-06-30,Centre Back,30.0,"1,000,000 €",England,7
193,Moussa Sissoko,1989-08-16,2021-06-30,Central Midfield,17.0,"13,000,000 €",France,8
194,Georges-Kevin N'Koudou,1995-02-13,2021-06-30,Left Wing,14.0,"7,000,000 €",France,8
195,Pau López,1994-12-13,2017-06-30,Keeper,30.0,"1,500,000 €",Spain,8
196,Hugo Lloris,1986-12-26,2019-06-30,Keeper,1.0,"24,000,000 €",France,8
197,Michel Vorm,1983-10-20,2018-06-30,Keeper,13.0,"5,000,000 €",Netherlands,8
198,Toby Alderweireld,1989-03-02,2020-06-30,Centre Back,4.0,"27,000,000 €",Belgium,8
199,Jan Vertonghen,1987-04-24,2018-06-30,Centre Back,5.0,"23,000,000 €",Belgium,8
200,Kevin Wimmer,1992-11-15,2021-06-30,Centre Back,27.0,"7,000,000 €",Austria,8
201,Danny Rose,1990-07-02,2019-06-30,Left-Back,3.0,"14,000,000 €",England,8
202,Ben Davies,1993-04-24,2019-06-30,Left-Back,33.0,"9,000,000 €",Wales,8
203,Kyle Walker,1990-05-28,2019-06-30,Right-Back,2.0,"15,000,000 €",England,8
204,Kieran Trippier,1990-09-19,2020-06-30,Right-Back,16.0,"6,000,000 €",England,8
205,Eric Dier,1994-01-15,2020-06-30,Defensive Midfield,15.0,"18,000,000 €",England,8
206,Victor Wanyama,1991-06-25,2021-06-30,Defensive Midfield,12.0,"15,000,000 €",Kenya,8
207,Dele Alli,1996-04-11,2021-06-30,Central Midfield,20.0,"20,000,000 €",England,8
208,Mousa Dembélé,1987-07-16,2019-06-30,Central Midfield,19.0,"18,000,000 €",Belgium,8
209,Tom Carroll,1992-05-28,2016-06-30,Central Midfield,28.0,"5,000,000 €",England,8
210,Christian Eriksen,1992-02-14,2020-06-30,Attacking Midfield,23.0,"31,000,000 €",Denmark,8
211,Josh Onomah,1997-04-27,2020-06-30,Attacking Midfield,25.0,"2,000,000 €",England,8
212,Érik Lamela,1992-03-04,2020-06-30,Right Wing,11.0,"26,000,000 €",Argentina,8
213,Heung-Min Son,1992-07-08,2020-06-30,Left Wing,7.0,"25,000,000 €","Korea, South",8
214,Harry Kane,1993-07-28,2020-06-30,Centre Forward,10.0,"40,000,000 €",England,8
215,Vincent Janssen,1994-06-15,2020-06-30,Centre Forward,9.0,"14,000,000 €",Netherlands,8
216,Andros Townsend,1991-07-16,2021-06-30,Right Wing,10.0,"11,000,000 €",England,9
217,Steve Mandanda,1985-03-28,2019-06-30,Keeper,30.0,"10,000,000 €",France,9
218,Christian Benteke,1990-12-03,2020-06-30,Centre Forward,17.0,"27,000,000 €",Belgium,9
219,Loïc Rémy,1987-01-02,2017-05-31,Centre Forward,18.0,"9,000,000 €",France,9
220,Wayne Hennessey,1987-01-24,2017-06-30,Keeper,13.0,"4,000,000 €",Wales,9
221,Julián Speroni,1979-05-18,2017-06-30,Keeper,1.0,"500,000 €",Argentina,9
222,James Tomkins,1989-03-29,2021-06-30,Centre Back,5.0,"7,000,000 €",England,9
223,Scott Dann,1987-02-14,2020-06-30,Centre Back,6.0,"5,000,000 €",England,9
224,Damien Delaney,1981-07-20,2017-06-30,Centre Back,27.0,"1,500,000 €",Ireland,9
225,Pape Souaré,1990-06-06,2019-06-30,Left-Back,23.0,"6,500,000 €",Senegal,9
226,Zeki Fryers,1992-09-09,2017-06-30,Left-Back,19.0,"2,500,000 €",England,9
227,Joel Ward,1989-10-29,2018-06-30,Right-Back,2.0,"5,000,000 €",England,9
228,Martin Kelly,1990-04-27,2017-06-30,Right-Back,34.0,"3,500,000 €",England,9
229,Yohan Cabaye,1986-01-14,2018-06-30,Central Midfield,7.0,"18,000,000 €",France,9
230,James McArthur,1987-10-07,2018-06-30,Central Midfield,18.0,"7,000,000 €",Scotland,9
231,Jordon Mutch,1991-12-02,2019-06-30,Central Midfield,22.0,"4,000,000 €",England,9
232,Joe Ledley,1987-01-23,2017-06-30,Central Midfield,28.0,"4,000,000 €",Wales,9
233,Bakary Sako,1988-04-26,2018-06-30,Left Wing,26.0,"8,000,000 €",Mali,9
234,Wilfried Zaha,1992-11-10,2020-06-30,Right Wing,11.0,"9,000,000 €",England,9
235,Jason Puncheon,1986-06-26,2019-06-30,Right Wing,42.0,"5,000,000 €",England,9
236,Chung-Yong Lee,1988-07-02,2018-06-30,Right Wing,14.0,"1,500,000 €","Korea, South",9
237,Connor Wickham,1993-03-31,2020-06-30,Centre Forward,21.0,"6,000,000 €",England,9
238,Fraizer Campbell,1987-09-13,2017-06-30,Centre Forward,9.0,"2,500,000 €",England,9
239,Kwesi Appiah,1990-08-12,2017-06-30,Centre Forward,32.0,"250,000 €",Ghana,9
240,Matt Phillips,1991-03-13,2020-06-30,Right Wing,10.0,"6,000,000 €",Scotland,10
241,Ben Foster,1983-04-03,2018-06-30,Keeper,1.0,"4,000,000 €",England,10
242,Boaz Myhill,1982-11-09,2018-06-30,Keeper,13.0,"2,000,000 €",Wales,10
243,Jack Rose,1995-01-31,2017-06-30,Keeper,38.0,"100,000 €",England,10
244,Jonny Evans,1988-01-03,2019-06-30,Centre Back,6.0,"6,000,000 €",Northern Ireland,10
245,Jonas Olsson,1983-03-10,2017-06-30,Centre Back,3.0,"1,500,000 €",Sweden,10
246,Gareth McAuley,1979-12-05,2017-06-30,Centre Back,23.0,"1,000,000 €",Northern Ireland,10
247,Craig Dawson,1990-05-06,2018-06-30,Right-Back,25.0,"6,000,000 €",England,10
248,Claudio Yacob,1987-07-18,2017-06-30,Defensive Midfield,5.0,"4,000,000 €",Argentina,10
249,James Morrison,1986-05-25,2018-06-30,Central Midfield,7.0,"5,000,000 €",Scotland,10
250,Craig Gardner,1986-11-25,2017-06-30,Central Midfield,8.0,"3,500,000 €",England,10
251,Darren Fletcher,1984-02-01,2017-06-30,Central Midfield,24.0,"2,000,000 €",Scotland,10
252,Chris Brunt,1984-12-14,2017-06-30,Left Midfield,11.0,"4,000,000 €",Northern Ireland,10
253,James McClean,1989-04-22,2018-06-30,Left Wing,14.0,"3,000,000 €",Ireland,10
254,Callum McManaman,1991-04-25,2018-06-30,Right Wing,19.0,"4,000,000 €",England,10
255,Jonathan Leko,1999-04-24,2019-06-30,Right Wing,45.0,"1,500,000 €",England,10
256,José Salomón Rondón,1989-09-16,2019-06-30,Centre Forward,9.0,"17,000,000 €",Venezuela,10
257,Saido Berahino,1993-08-04,2017-06-30,Centre Forward,18.0,"15,000,000 €",England,10
258,Allan Nyom,1988-05-10,2020-06-30,Right-Back,2.0,"4,000,000 €",Cameroon,10
259,Nacer Chadli,1989-08-02,2020-06-30,Left Wing,NaN,"13,000,000 €",Belgium,10
260,Brendan Galloway,1996-03-17,2017-05-31,Left-Back,20.0,"3,000,000 €",England,10
261,Hal Robson-Kanu,1989-05-21,2018-06-30,Left Wing,NaN,"2,000,000 €",Wales,10
262,Matthew Lowton,1989-06-09,2018-06-30,Right-Back,2.0,"1,500,000 €",England,11
263,George Boyd,1985-10-02,2017-06-30,Right Midfield,21.0,"4,000,000 €",Scotland,11
264,Steven Defour,1988-04-15,2019-06-30,Central Midfield,16.0,"6,000,000 €",Belgium,11
265,Patrick Bamford,1993-09-05,2017-05-31,Centre Forward,15.0,"5,000,000 €",England,11
266,Tom Heaton,1986-04-15,2020-06-30,Keeper,1.0,"3,000,000 €",England,11
267,Nick Pope,1992-04-19,2019-06-30,Keeper,29.0,"750,000 €",England,11
268,Paul Robinson,1979-10-15,2017-06-30,Keeper,17.0,"250,000 €",England,11
269,Michael Keane,1993-01-11,2018-06-30,Centre Back,5.0,"8,000,000 €",England,11
270,James Tarkowski,1992-11-19,2019-06-30,Centre Back,26.0,"2,000,000 €",England,11
271,Kevin Long,1990-08-18,2017-06-30,Centre Back,28.0,"250,000 €",Ireland,11
272,Ben Mee,1989-09-21,2019-06-30,Left-Back,6.0,"3,500,000 €",England,11
273,Stephen Ward,1985-08-20,2017-06-30,Left-Back,23.0,"1,000,000 €",Ireland,11
274,Jon Flanagan,1993-01-01,2017-05-31,Right-Back,4.0,"5,000,000 €",England,11
275,Tendayi Darikwa,1991-12-13,2018-06-30,Right-Back,27.0,"750,000 €",England,11
276,Dean Marney,1984-01-31,2017-06-30,Central Midfield,8.0,"1,000,000 €",England,11
277,Scott Arfield,1988-11-01,2018-06-30,Left Midfield,37.0,"3,000,000 €",Canada,11
278,Michael Kightly,1986-01-24,2017-06-30,Left Wing,11.0,"1,500,000 €",England,11
279,Johann Berg Gudmundsson,1990-10-27,2019-06-30,Right Wing,25.0,"2,500,000 €",Iceland,11
280,Andre Gray,1991-06-26,2018-06-30,Centre Forward,7.0,"10,000,000 €",England,11
